Dist Code,Year,State Code,State Name,Dist Name,RICE YIELD (Kg per ha),yield_clean
96,1990,7,Maharashtra,Thane,1926.0,1926.0
96,1991,7,Maharashtra,Thane,1784.0,1784.0
96,1992,7,Maharashtra,Thane,1935.0,1935.0
96,1993,7,Maharashtra,Thane,2047.0,2047.0
96,1994,7,Maharashtra,Thane,1898.0,1898.0
96,1995,7,Maharashtra,Thane,2170.0,2170.0
96,1996,7,Maharashtra,Thane,2599.0,2599.0
96,1997,7,Maharashtra,Thane,2355.0,2355.0
96,1998,7,Maharashtra,Thane,1920.0,1920.0
96,1999,7,Maharashtra,Thane,2130.0,2130.0
96,2000,7,Maharashtra,Thane,1237.0,1237.0
96,2001,7,Maharashtra,Thane,2448.0,2448.0
96,2002,7,Maharashtra,Thane,1138.0,1138.0
96,2003,7,Maharashtra,Thane,2821.0,2821.0
96,2004,7,Maharashtra,Thane,2379.0,2379.0
96,2005,7,Maharashtra,Thane,2227.0,2227.0
96,2006,7,Maharashtra,Thane,1836.0,1836.0
96,2007,7,Maharashtra,Thane,2200.0,2200.0
96,2008,7,Maharashtra,Thane,2158.0,2158.0
96,2009,7,Maharashtra,Thane,2098.0,2098.0
96,2010,7,Maharashtra,Thane,2029.0,2029.0
96,2011,7,Maharashtra,Thane,2450.0,2450.0
96,2012,7,Maharashtra,Thane,2600.0,2600.0
96,2013,7,Maharashtra,Thane,2393.0,2393.0
96,2014,7,Maharashtra,Thane,2421.0,2421.0
96,2015,7,Maharashtra,Thane,2260.0,2260.0
96,2016,7,Maharashtra,Thane,2717.0,2717.0
96,2017,7,Maharashtra,Thane,1848.0,1848.0
96,2018,7,Maharashtra,Thane,2540.0,2540.0
96,2019,7,Maharashtra,Thane,2146.0,2146.0
97,1990,7,Maharashtra,Raigarh,1650.0,1650.0
97,1991,7,Maharashtra,Raigarh,2231.0,2231.0
97,1992,7,Maharashtra,Raigarh,2119.0,2119.0
97,1993,7,Maharashtra,Raigarh,2371.0,2371.0
97,1994,7,Maharashtra,Raigarh,2198.0,2198.0
97,1995,7,Maharashtra,Raigarh,2254.0,2254.0
97,1996,7,Maharashtra,Raigarh,2333.0,2333.0
97,1997,7,Maharashtra,Raigarh,2531.0,2531.0
97,1998,7,Maharashtra,Raigarh,2568.0,2568.0
97,1999,7,Maharashtra,Raigarh,2421.0,2421.0
97,2000,7,Maharashtra,Raigarh,2166.0,2166.0
97,2001,7,Maharashtra,Raigarh,2669.0,2669.0
97,2002,7,Maharashtra,Raigarh,2086.0,2086.0
97,2003,7,Maharashtra,Raigarh,2827.0,2827.0
97,2004,7,Maharashtra,Raigarh,2235.0,2235.0
