"Dist Code","Year","State Code","State Name","Dist Name","RICE IRRIGATED AREA (1000 ha)"
"96","1990","7","Maharashtra","Thane","1.9"
"96","1991","7","Maharashtra","Thane","1.6"
"96","1992","7","Maharashtra","Thane","1.6"
"96","1993","7","Maharashtra","Thane","2.5"
"96","1994","7","Maharashtra","Thane","3.7"
"96","1995","7","Maharashtra","Thane","2.4"
"96","1996","7","Maharashtra","Thane","3.0"
"96","1997","7","Maharashtra","Thane","3.6"
"96","1998","7","Maharashtra","Thane","4.4"
"96","1999","7","Maharashtra","Thane","3.6"
"96","2000","7","Maharashtra","Thane","2.4"
"96","2001","7","Maharashtra","Thane","2.4"
"96","2002","7","Maharashtra","Thane","2.4"
"96","2003","7","Maharashtra","Thane","0.0"
"96","2004","7","Maharashtra","Thane","2.4"
"96","2005","7","Maharashtra","Thane","2.5"
"96","2006","7","Maharashtra","Thane","2.6"
"96","2007","7","Maharashtra","Thane","2.6"
"96","2008","7","Maharashtra","Thane","2.6"
"96","2009","7","Maharashtra","Thane","-1.0"
"96","2010","7","Maharashtra","Thane","-1.0"
"96","2011","7","Maharashtra","Thane","-1.0"
"96","2012","7","Maharashtra","Thane","-1.0"
"96","2013","7","Maharashtra","Thane","-1.0"
"96","2014","7","Maharashtra","Thane","-1.0"
"96","2015","7","Maharashtra","Thane","-1.0"
"96","2016","7","Maharashtra","Thane","-1.0"
"96","2017","7","Maharashtra","Thane","-1.0"
"96","2018","7","Maharashtra","Thane","-1.0"
"96","2019","7","Maharashtra","Thane","-1.0"
"97","1990","7","Maharashtra","Raigarh","8.3"
"97","1991","7","Maharashtra","Raigarh","12.3"
"97","1992","7","Maharashtra","Raigarh","8.0"
"97","1993","7","Maharashtra","Raigarh","7.3"
"97","1994","7","Maharashtra","Raigarh","8.1"
"97","1995","7","Maharashtra","Raigarh","8.1"
"97","1996","7","Maharashtra","Raigarh","7.9"
"97","1997","7","Maharashtra","Raigarh","7.9"
"97","1998","7","Maharashtra","Raigarh","8.0"
"97","1999","7","Maharashtra","Raigarh","6.5"
"97","2000","7","Maharashtra","Raigarh","8.3"
"97","2001","7","Maharashtra","Raigarh","8.3"
"97","2002","7","Maharashtra","Raigarh","8.6"
"97","2003","7","Maharashtra","Raigarh","0.0"
"97","2004","7","Maharashtra","Raigarh","8.5"
"97","2005","7","Maharashtra","Raigarh","8.5"
"97","2006","7","Maharashtra","Raigarh","8.6"
"97","2007","7","Maharashtra","Raigarh","8.6"
"97","2008","7","Maharashtra","Raigarh","8.5"
"97","2009","7","Maharashtra","Raigarh","-1.0"
"97","2010","7","Maharashtra","Raigarh","-1.0"
"97","2011","7","Maharashtra","Raigarh","-1.0"
"97","2012","7","Maharashtra","Raigarh","-1.0"
"97","2013","7","Maharashtra","Raigarh","-1.0"
"97","2014","7","Maharashtra","Raigarh","-1.0"
"97","2015","7","Maharashtra","Raigarh","-1.0"
"97","2016","7","Maharashtra","Raigarh","-1.0"
"97","2017","7","Maharashtra","Raigarh","-1.0"
"97","2018","7","Maharashtra","Raigarh","-1.0"
"97","2019","7","Maharashtra","Raigarh","-1.0"
"98","1990","7","Maharashtra","Ratnagiri","0.3"
"98","1991","7","Maharashtra","Ratnagiri","0.3"
"98","1992","7","Maharashtra","Ratnagiri","0.5"
"98","1993","7","Maharashtra","Ratnagiri","0.5"
"98","1994","7","Maharashtra","Ratnagiri","0.5"
"98","1995","7","Maharashtra","Ratnagiri","0.5"
"98","1996","7","Maharashtra","Ratnagiri","0.3"
"98","1997","7","Maharashtra","Ratnagiri","0.5"
"98","1998","7","Maharashtra","Ratnagiri","0.2"
"98","1999","7","Maharashtra","Ratnagiri","0.3"
"98","2000","7","Maharashtra","Ratnagiri","0.4"
"98","2001","7","Maharashtra","Ratnagiri","0.3"
"98","2002","7","Maharashtra","Ratnagiri","0.3"
"98","2003","7","Maharashtra","Ratnagiri","0.0"
"98","2004","7","Maharashtra","Ratnagiri","0.2"
"98","2005","7","Maharashtra","Ratnagiri","0.2"
"98","2006","7","Maharashtra","Ratnagiri","0.1"
"98","2007","7","Maharashtra","Ratnagiri","0.1"
"98","2008","7","Maharashtra","Ratnagiri","0.1"
"98","2009","7","Maharashtra","Ratnagiri","-1.0"
"98","2010","7","Maharashtra","Ratnagiri","-1.0"
"98","2011","7","Maharashtra","Ratnagiri","-1.0"
"98","2012","7","Maharashtra","Ratnagiri","-1.0"
"98","2013","7","Maharashtra","Ratnagiri","-1.0"
"98","2014","7","Maharashtra","Ratnagiri","-1.0"
"98","2015","7","Maharashtra","Ratnagiri","-1.0"
"98","2016","7","Maharashtra","Ratnagiri","-1.0"
"98","2017","7","Maharashtra","Ratnagiri","-1.0"
"98","2018","7","Maharashtra","Ratnagiri","-1.0"
"98","2019","7","Maharashtra","Ratnagiri","-1.0"
"99","1990","7","Maharashtra","Nasik","3.9"
"99","1991","7","Maharashtra","Nasik","3.8"
"99","1992","7","Maharashtra","Nasik","6.5"
"99","1993","7","Maharashtra","Nasik","2.7"
"99","1994","7","Maharashtra","Nasik","2.4"
"99","1995","7","Maharashtra","Nasik","1.8"
"99","1996","7","Maharashtra","Nasik","3.2"
"99","1997","7","Maharashtra","Nasik","3.6"
"99","1998","7","Maharashtra","Nasik","3.1"
"99","1999","7","Maharashtra","Nasik","3.0"
"99","2000","7","Maharashtra","Nasik","2.8"
"99","2001","7","Maharashtra","Nasik","2.6"
"99","2002","7","Maharashtra","Nasik","3.1"
"99","2003","7","Maharashtra","Nasik","2.7"
"99","2004","7","Maharashtra","Nasik","2.7"
"99","2005","7","Maharashtra","Nasik","2.7"
"99","2006","7","Maharashtra","Nasik","2.1"
"99","2007","7","Maharashtra","Nasik","2.2"
"99","2008","7","Maharashtra","Nasik","1.1"
"99","2009","7","Maharashtra","Nasik","-1.0"
"99","2010","7","Maharashtra","Nasik","-1.0"
"99","2011","7","Maharashtra","Nasik","-1.0"
"99","2012","7","Maharashtra","Nasik","-1.0"
"99","2013","7","Maharashtra","Nasik","-1.0"
"99","2014","7","Maharashtra","Nasik","-1.0"
"99","2015","7","Maharashtra","Nasik","-1.0"
"99","2016","7","Maharashtra","Nasik","-1.0"
"99","2017","7","Maharashtra","Nasik","-1.0"
"99","2018","7","Maharashtra","Nasik","-1.0"
"99","2019","7","Maharashtra","Nasik","-1.0"
"100","1990","7","Maharashtra","Dhule","7.0"
"100","1991","7","Maharashtra","Dhule","6.0"
"100","1992","7","Maharashtra","Dhule","3.4"
"100","1993","7","Maharashtra","Dhule","0.1"
"100","1994","7","Maharashtra","Dhule","1.5"
"100","1995","7","Maharashtra","Dhule","0.5"
"100","1996","7","Maharashtra","Dhule","0.0"
